16 , 32
 3.0000  ,       0  ,       0
      0  ,  3.0000  ,       0
-3.0000  ,       0  ,       0
      0  , -3.0000  ,       0
 2.0000  ,       0  ,  1.0000
      0  ,  2.0000  ,  1.0000
-2.0000  ,       0  ,  1.0000
      0  , -2.0000  ,  1.0000
 1.0000  ,       0  ,       0
      0  ,  1.0000  ,       0
-1.0000  ,       0  ,       0
      0  , -1.0000  ,       0
 2.0000  ,       0  , -1.0000
      0  ,  2.0000  , -1.0000
-2.0000  ,       0  , -1.0000
      0  , -2.0000  , -1.0000
 0  ,   1 ,  5
 0  ,   5 ,  4
 1  ,   2 ,  6
 1  ,   6 ,  5
 2  ,   3 ,  7
 2  ,   7 ,  6
 3  ,   0 ,  4
 3  ,   4 ,  7
 4  ,   5 ,  9
 4  ,   9 ,  8
 5  ,   6 , 10
 5  ,  10 ,  9
 6  ,   7 , 11
 6  ,  11 , 10
 7  ,   4 ,  8
 7  ,   8 , 11
 8  ,   9 , 13
 8  ,  13 , 12
 9  ,  10 , 14
 9  ,  14 , 13
10  ,  11 , 15
10  ,  15 , 14
11  ,   8 , 12
11  ,  12 , 15
12  ,  13 ,  1
12  ,   1 ,  0
13  ,  14 ,  2
13  ,   2 ,  1
14  ,  15 ,  3
14  ,   3 ,  2
15  ,  12 ,  0
15  ,   0 ,  3
